姓名,姓氏,字辈,性别,排序,出生日期,逝世日期,是否离世,籍贯,职业,父亲,母亲,配偶,是否入赘,是否招夫养子,生平简介,突出事迹
公02009,孔,公,男,31,-524,-435,是,浙江,商,孔言傠,,,,,,
公02010,孔,公,男,90,-530,-457,是,曲阜,官员,孔言兔,,,,,,
公02011,孔,公,男,26,-517,-438,是,江苏,官员,孔言公,,,,,,
公02012,孔,公,男,84,-533,-459,是,安徽,儒,孔言公,,,,,,
公02013,孔,公,男,99,-533,-445,是,安徽,农,陈氏,,,,,,
公02014,孔,公,男,17,-528,-442,是,安徽,工,孔言僥,,,,,,
公02015,孔,公,男,80,-524,-443,是,江苏,官员,孔言僟,,,,,,
公02016,孔,公,男,49,-528,-445,是,曲阜,商,孔言偧,,,,,,
公02017,孔,公,男,32,-520,-433,是,河南,官员,杨氏,,,,,,
公02018,孔,公,男,29,-523,-446,是,曲阜,农,孔言丨,,,,,,
公02019,孔,公,男,93,-519,-441,是,曲阜,学者,孔言偢,,,,,,
公02020,孔,公,男,58,-517,-454,是,安徽,农,孔言儕,,,,,,
公02021,孔,公,男,1,-531,-463,是,浙江,商,孔言丹,,,,,,
公02022,孔,公,男,62,-514,-440,是,安徽,农,林娘,,,,,,
公02023,孔,公,男,77,-514,-449,是,江苏,农,孔言冱,,,,,,
公02024,孔,公,男,47,-529,-469,是,安徽,工,孔言凧,,,,,,
公02025,孔,公,男,71,-530,-456,是,河南,士,孔言凎,,,,,,
公02026,孔,公,男,84,-517,-437,是,安徽,官员,孔言凟,,,,,,
公02027,孔,公,男,6,-524,-448,是,江苏,学者,马娘,,,,,,
公02028,孔,公,男,73,-516,-436,是,曲阜,商,孔言减,,,,,,
公02029,孔,公,男,49,-528,-463,是,山东,商,孔言冩,,,,,,
公02030,孔,公,男,24,-530,-459,是,安徽,官员,孔言凉,,,,,,
公02031,孔,公,男,30,-515,-455,是,安徽,农,孔言丷,,,,,,
公02032,孔,公,男,29,-525,-459,是,江苏,农,孔言儧,,,,,,
公02033,孔,公,男,33,-519,-456,是,安徽,商,孔言兞,,,,,,
公02034,孔,公,男,1,-531,-463,是,山东,工,孔言儦,,,,,,
公02035,孔,公,男,50,-519,-458,是,河南,工,孔言儤,,,,,,
公02036,孔,公,男,69,-523,-452,是,山东,士,高姑,,,,,,
公02037,孔,公,男,71,-531,-450,是,安徽,儒,孔言儙,,,,,,
公02038,孔,公,男,63,-521,-442,是,河南,学者,孔言冞,,,,,,
公02039,孔,公,男,19,-522,-437,是,安徽,农,孔言冯,,,,,,
公02040,孔,公,男,73,-522,-438,是,浙江,农,孔言傅,,,,,,
公02041,孔,公,男,71,-514,-451,是,安徽,官员,何氏,,,,,,
公02042,孔,公,男,21,-523,-455,是,曲阜,官员,孔言偨,,,,,,
公02043,孔,公,男,95,-525,-449,是,江苏,士,孔言傀,,,,,,
公02044,孔,公,男,10,-520,-446,是,浙江,学者,胡姑,,,,,,
公02045,孔,公,男,30,-522,-445,是,安徽,商,胡姑,,,,,,
公02046,孔,公,男,62,-521,-448,是,山东,学者,孔言冪,,,,,,
公02047,孔,公,男,5,-531,-445,是,山东,官员,孔言世,,,,,,
公02048,孔,公,男,64,-522,-448,是,浙江,学者,孔言兎,,,,,,
公02049,孔,公,男,47,-515,-427,是,浙江,儒,吴姑,,,,,,
公02050,孔,公,男,55,-518,-449,是,河南,儒,李姑,,,,,,
公02051,孔,公,男,80,-523,-435,是,山东,士,孔言偰,,,,,,
公02052,孔,公,男,74,-529,-440,是,河南,官员,孔言僵,,,,,,
公02053,孔,公,男,25,-522,-433,是,山东,官员,孔言傫,,,,,,
公02054,孔,公,男,50,-528,-440,是,河南,士,孔言僊,,,,,,
公02055,孔,公,男,47,-534,-468,是,安徽,工,孔言凊,,,,,,
公02056,孔,公,男,96,-528,-461,是,山东,士,孔言儻,,,,,,
公02057,孔,公,男,74,-523,-438,是,江苏,儒,孔言儉,,,,,,
公02058,孔,公,男,17,-533,-454,是,山东,士,孔言下,,,,,,
公02059,孔,公,男,59,-534,-446,是,江苏,学者,孔言兂,,,,,,
公02060,孔,公,男,97,-530,-447,是,浙江,儒,孔言军,,,,,,
公02061,孔,公,男,13,-525,-457,是,山东,商,孔言况,,,,,,
公02062,孔,公,男,26,-527,-444,是,江苏,儒,孔言兄,,,,,,
公02063,孔,公,男,16,-527,-454,是,河南,士,孔言冎,,,,,,
公02064,孔,公,男,21,-529,-465,是,山东,士,孔言儣,,,,,,
公02065,孔,公,男,75,-520,-453,是,山东,工,孔言冤,,,,,,
公02066,孔,公,男,94,-520,-450,是,安徽,商,孔言凜,,,,,,
公02067,孔,公,男,81,-531,-457,是,浙江,农,张氏,,,,,,
公02068,孔,公,男,76,-529,-440,是,安徽,工,赵姑,,,,,,
公02069,孔,公,男,2,-519,-444,是,安徽,学者,孔言兘,,,,,,
公02070,孔,公,男,35,-514,-432,是,山东,官员,孔言偩,,,,,,
公02071,孔,公,男,10,-518,-439,是,曲阜,工,孔言冲,,,,,,
公02072,孔,公,男,8,-527,-462,是,山东,农,孔言儿,,,,,,
公02073,孔,公,男,18,-527,-438,是,曲阜,商,孔言军,,,,,,
公02074,孔,公,男,63,-534,-470,是,浙江,官员,李姑,,,,,,
公02075,孔,公,男,46,-522,-447,是,河南,儒,孔言丳,,,,,,
公02076,孔,公,男,15,-534,-463,是,曲阜,学者,张娘,,,,,,
公02077,孔,公,男,6,-524,-437,是,江苏,士,孔言业,,,,,,
公02078,孔,公,男,63,-515,-437,是,安徽,工,孔言僁,,,,,,
公02079,孔,公,男,79,-531,-471,是,河南,士,孔言冤,,,,,,
公02080,孔,公,男,82,-514,-446,是,河南,商,孔言丗,,,,,,
公02081,孔,公,男,52,-514,-438,是,河南,士,孔言丘,,,,,,
公02082,孔,公,男,69,-520,-440,是,山东,士,孔言僚,,,,,,
公02083,孔,公,男,35,-534,-448,是,曲阜,农,孔言兓,,,,,,
公02084,孔,公,男,73,-531,-441,是,曲阜,商,孔言儼,,,,,,
公02085,孔,公,男,49,-524,-442,是,山东,学者,孔言冒,,,,,,
公02086,孔,公,男,66,-531,-454,是,浙江,学者,孔言僎,,,,,,
公02087,孔,公,男,40,-521,-444,是,山东,工,高姑,,,,,,
公02088,孔,公,男,62,-521,-453,是,曲阜,商,孔言円,,,,,,
公02089,孔,公,男,52,-529,-454,是,山东,官员,孔言偯,,,,,,
公02090,孔,公,男,36,-515,-449,是,江苏,工,孔言兩,,,,,,
公02091,孔,公,男,17,-522,-462,是,安徽,士,孔言僂,,,,,,
公02092,孔,公,男,28,-514,-454,是,曲阜,工,杨氏,,,,,,
公02093,孔,公,男,84,-522,-449,是,浙江,商,孔言偷,,,,,,
公02094,孔,公,男,63,-516,-438,是,山东,商,胡娘,,,,,,
公02095,孔,公,男,59,-514,-436,是,曲阜,学者,孔言凟,,,,,,
公02096,孔,公,男,68,-533,-447,是,河南,官员,孔言兒,,,,,,
公02097,孔,公,男,1,-532,-456,是,河南,官员,孔言儼,,,,,,
公02098,孔,公,男,8,-516,-426,是,江苏,官员,孔言兀,,,,,,
公02099,孔,公,男,40,-531,-454,是,曲阜,儒,高娘,,,,,,
公02100,孔,公,男,21,-519,-458,是,安徽,学者,孔言偨,,,,,,
公02101,孔,公,男,57,-526,-450,是,曲阜,农,孔言傳,,,,,,
公02102,孔,公,男,26,-520,-431,是,山东,官员,陈氏,,,,,,
公02103,孔,公,男,76,-517,-427,是,山东,儒,孔言凥,,,,,,
公02104,孔,公,男,54,-514,-433,是,安徽,官员,孔言凧,,,,,,
公02105,孔,公,男,24,-527,-453,是,安徽,官员,孔言兞,,,,,,
公02106,孔,公,男,61,-531,-467,是,江苏,官员,孔言冀,,,,,,
公02107,孔,公,男,7,-520,-460,是,江苏,商,孔言傛,,,,,,
公02108,孔,公,男,83,-534,-446,是,安徽,学者,孔言儎,,,,,,
公02109,孔,公,男,81,-517,-451,是,山东,农,孔言一,,,,,,
公02110,孔,公,男,90,-517,-437,是,河南,士,孔言傈,,,,,,
公02111,孔,公,男,99,-523,-436,是,安徽,学者,孔言入,,,,,,
公02112,孔,公,男,74,-526,-449,是,江苏,士,孔言专,,,,,,
公02113,孔,公,男,96,-528,-467,是,浙江,官员,孔言僋,,,,,,
公02114,孔,公,男,40,-532,-451,是,曲阜,商,孔言万,,,,,,
公02115,孔,公,男,35,-518,-441,是,山东,工,刘娘,,,,,,
公02116,孔,公,男,27,-528,-457,是,山东,官员,孔言冯,,,,,,
公02117,孔,公,男,46,-525,-446,是,曲阜,工,孔言儣,,,,,,
公02118,孔,公,男,31,-533,-446,是,浙江,农,孔言儔,,,,,,
公02119,孔,公,男,20,-519,-455,是,安徽,官员,孔言兛,,,,,,
公02120,孔,公,男,99,-529,-469,是,河南,工,孔言偮,,,,,,
公02121,孔,公,男,25,-526,-440,是,安徽,农,孔言儾,,,,,,
公02122,孔,公,男,32,-523,-438,是,浙江,农,郭姑,,,,,,
公02123,孔,公,男,40,-520,-458,是,浙江,官员,孔言傆,,,,,,
公02124,孔,公,男,100,-523,-434,是,河南,学者,孔言僙,,,,,,
公02125,孔,公,男,62,-529,-446,是,山东,儒,孔言傯,,,,,,
公02126,孔,公,男,95,-530,-443,是,安徽,官员,孔言减,,,,,,
公02127,孔,公,男,6,-519,-433,是,浙江,工,朱氏,,,,,,
公02128,孔,公,男,22,-516,-426,是,江苏,商,孔言傚,,,,,,
公02129,孔,公,男,97,-534,-444,是,河南,官员,孔言傱,,,,,,
公02130,孔,公,男,97,-520,-460,是,安徽,工,孔言兩,,,,,,
公02131,孔,公,男,4,-525,-448,是,江苏,商,黄氏,,,,,,
公02132,孔,公,男,13,-525,-459,是,河南,农,孔言冻,,,,,,
公02133,孔,公,男,1,-523,-459,是,山东,儒,孔言凎,,,,,,
公02134,孔,公,男,2,-518,-437,是,江苏,学者,刘娘,,,,,,
公02135,孔,公,男,37,-534,-461,是,山东,工,孔言偷,,,,,,
公02136,孔,公,男,3,-519,-444,是,安徽,学者,吴姑,,,,,,
公02137,孔,公,男,34,-523,-458,是,河南,士,孔言僌,,,,,,
公02138,孔,公,男,78,-531,-449,是,山东,官员,杨氏,,,,,,
公02139,孔,公,男,49,-533,-472,是,江苏,儒,孔言僚,,,,,,
公02140,孔,公,男,84,-527,-460,是,河南,官员,孔言僟,,,,,,
公02141,孔,公,男,73,-523,-435,是,浙江,学者,孔言傥,,,,,,
公02142,孔,公,男,95,-521,-460,是,浙江,商,孔言专,,,,,,
公02143,孔,公,男,9,-526,-463,是,江苏,农,孔言兜,,,,,,
公02144,孔,公,男,52,-523,-446,是,浙江,工,孔言丏,,,,,,
公02145,孔,公,男,71,-526,-465,是,安徽,商,孔言儻,,,,,,
公02146,孔,公,男,1,-526,-444,是,安徽,官员,孔言僴,,,,,,
公02147,孔,公,男,18,-523,-438,是,江苏,商,孔言冟,,,,,,
公02148,孔,公,男,88,-515,-442,是,江苏,士,孔言偷,,,,,,
公02149,孔,公,男,55,-528,-440,是,江苏,官员,孔言凢,,,,,,
彦03000,孔,彦,男,61,-496,-430,是,山东,士,公02122,,,,,,
彦03001,孔,彦,男,28,-506,-432,是,河南,官员,公02090,,,,,,
彦03002,孔,彦,男,23,-491,-408,是,河南,商,公02057,,,,,,
彦03003,孔,彦,男,10,-503,-423,是,浙江,儒,公02073,,,,,,
彦03004,孔,彦,男,48,-505,-416,是,山东,工,公02063,,,,,,
彦03005,孔,彦,男,87,-504,-416,是,安徽,商,公02141,,,,,,
彦03006,孔,彦,男,95,-494,-404,是,山东,工,公02139,,,,,,
彦03007,孔,彦,男,63,-496,-409,是,河南,学者,公02012,,,,,,
彦03008,孔,彦,男,33,-505,-437,是,安徽,农,公02014,,,,,,
彦03009,孔,彦,男,32,-491,-408,是,江苏,商,公02029,,,,,,
彦03010,孔,彦,男,71,-502,-424,是,河南,农,公02096,,,,,,
彦03011,孔,彦,男,65,-486,-399,是,安徽,农,公02020,,,,,,
彦03012,孔,彦,男,7,-489,-425,是,曲阜,商,公02030,,,,,,
彦03013,孔,彦,男,12,-489,-421,是,安徽,农,公02098,,,,,,
彦03014,孔,彦,男,20,-492,-403,是,安徽,学者,公02093,,,,,,
彦03015,孔,彦,男,85,-491,-427,是,山东,士,公02146,,,,,,
彦03016,孔,彦,男,52,-493,-403,是,安徽,士,公02075,,,,,,
彦03017,孔,彦,男,94,-501,-441,是,河南,工,公02108,,,,,,
彦03018,孔,彦,男,19,-489,-407,是,江苏,工,公02093,,,,,,
彦03019,孔,彦,男,46,-500,-423,是,山东,商,公02117,,,,,,
彦03020,孔,彦,男,12,-491,-407,是,山东,农,公02002,,,,,,
彦03021,孔,彦,男,29,-504,-418,是,江苏,工,公02038,,,,,,
彦03022,孔,彦,男,12,-498,-432,是,江苏,儒,公02049,,,,,,
彦03023,孔,彦,男,17,-488,-426,是,安徽,学者,公02070,,,,,,
彦03024,孔,彦,男,30,-489,-406,是,山东,商,公02112,,,,,,
彦03025,孔,彦,男,16,-500,-435,是,江苏,学者,公02123,,,,,,
彦03026,孔,彦,男,39,-496,-419,是,浙江,工,公02072,,,,,,
彦03027,孔,彦,男,65,-505,-420,是,江苏,士,公02145,,,,,,
彦03028,孔,彦,男,21,-488,-406,是,安徽,工,公02146,,,,,,
彦03029,孔,彦,男,26,-497,-416,是,山东,商,公02109,,,,,,
彦03030,孔,彦,男,64,-499,-432,是,山东,工,孔鲤,,,,,,
彦03031,孔,彦,男,100,-486,-415,是,江苏,学者,公02001,,,,,,
彦03032,孔,彦,男,1,-502,-428,是,江苏,学者,公02069,,,,,,
彦03033,孔,彦,男,11,-490,-420,是,江苏,官员,公02037,,,,,,
彦03034,孔,彦,男,60,-501,-430,是,安徽,官员,公02045,,,,,,
彦03035,孔,彦,男,46,-488,-428,是,江苏,学者,公02065,,,,,,
彦03036,孔,彦,男,43,-503,-438,是,安徽,商,公02143,,,,,,
彦03037,孔,彦,男,100,-498,-410,是,河南,农,公02099,,,,,,
彦03038,孔,彦,男,58,-502,-421,是,河南,商,公02017,,,,,,
彦03039,孔,彦,男,58,-489,-422,是,山东,官员,公02137,,,,,,
彦03040,孔,彦,男,46,-502,-426,是,河南,工,公02132,,,,,,
彦03041,孔,彦,男,37,-492,-425,是,浙江,官员,公02145,,,,,,
彦03042,孔,彦,男,65,-488,-424,是,江苏,官员,公02135,,,,,,
彦03043,孔,彦,男,36,-498,-413,是,河南,儒,公02087,,,,,,
彦03044,孔,彦,男,43,-504,-443,是,浙江,官员,公02001,,,,,,
彦03045,孔,彦,男,58,-503,-426,是,曲阜,儒,公02043,,,,,,
彦03046,孔,彦,男,50,-504,-414,是,安徽,农,公02012,,,,,,
彦03047,孔,彦,男,42,-495,-432,是,曲阜,工,公02071,,,,,,
彦03048,孔,彦,男,8,-490,-429,是,曲阜,儒,公02016,,,,,,
彦03049,孔,彦,男,2,-497,-431,是,河南,官员,公02050,,,,,,
彦03050,孔,彦,男,63,-491,-428,是,浙江,商,公02136,,,,,,
彦03051,孔,彦,男,85,-493,-408,是,山东,工,公02136,,,,,,
彦03052,孔,彦,男,9,-499,-424,是,浙江,工,公02145,,,,,,
彦03053,孔,彦,男,74,-487,-407,是,曲阜,工,公02129,,,,,,
彦03054,孔,彦,男,98,-493,-421,是,江苏,儒,公02095,,,,,,
彦03055,孔,彦,男,53,-488,-424,是,安徽,商,公02005,,,,,,
彦03056,孔,彦,男,28,-489,-424,是,江苏,士,公02135,,,,,,
彦03057,孔,彦,男,59,-494,-420,是,河南,学者,公02100,,,,,,
彦03058,孔,彦,男,53,-486,-398,是,山东,学者,公02135,,,,,,
彦03059,孔,彦,男,73,-502,-432,是,河南,农,公02016,,,,,,
彦03060,孔,彦,男,74,-501,-421,是,安徽,农,公02133,,,,,,
彦03061,孔,彦,男,99,-497,-412,是,江苏,学者,公02014,,,,,,
彦03062,孔,彦,男,78,-495,-431,是,安徽,商,公02013,,,,,,
彦03063,孔,彦,男,41,-494,-405,是,曲阜,官员,公02005,,,,,,
彦03064,孔,彦,男,9,-503,-427,是,山东,士,公02142,,,,,,
彦03065,孔,彦,男,10,-498,-436,是,安徽,农,公02069,,,,,,
彦03066,孔,彦,男,93,-503,-425,是,山东,学者,公02054,,,,,,
彦03067,孔,彦,男,94,-495,-422,是,浙江,儒,公02111,,,,,,
彦03068,孔,彦,男,64,-490,-422,是,山东,士,公02083,,,,,,
彦03069,孔,彦,男,23,-487,-413,是,安徽,儒,公02082,,,,,,
彦03070,孔,彦,男,51,-492,-407,是,山东,士,公02094,,,,,,
彦03071,孔,彦,男,3,-490,-430,是,河南,官员,公02043,,,,,,
彦03072,孔,彦,男,81,-488,-403,是,安徽,儒,公02148,,,,,,
彦03073,孔,彦,男,51,-501,-426,是,江苏,农,公02087,,,,,,
彦03074,孔,彦,男,51,-490,-415,是,浙江,农,公02066,,,,,,
彦03075,孔,彦,男,29,-505,-415,是,曲阜,学者,公02024,,,,,,
彦03076,孔,彦,男,84,-489,-402,是,河南,农,公02139,,,,,,
彦03077,孔,彦,男,90,-488,-401,是,江苏,士,公02110,,,,,,
彦03078,孔,彦,男,15,-492,-431,是,山东,学者,公02022,,,,,,
彦03079,孔,彦,男,4,-499,-437,是,河南,工,公02010,,,,,,
彦03080,孔,彦,男,80,-500,-432,是,安徽,学者,公02143,,,,,,
彦03081,孔,彦,男,17,-501,-416,是,安徽,官员,公02053,,,,,,
彦03082,孔,彦,男,91,-501,-434,是,安徽,儒,公02023,,,,,,
彦03083,孔,彦,男,69,-500,-425,是,浙江,农,公02047,,,,,,
彦03084,孔,彦,男,26,-499,-428,是,山东,官员,公02135,,,,,,
彦03085,孔,彦,男,55,-501,-421,是,曲阜,学者,公02109,,,,,,
彦03086,孔,彦,男,84,-493,-406,是,河南,农,公02032,,,,,,
