姓名,姓氏,字辈,性别,排序,出生日期,逝世日期,是否离世,籍贯,职业,父亲,母亲,配偶,是否入赘,是否招夫养子,生平简介,突出事迹,
贾宝玉,贾,玉,男,10000,1790-04-22,,否,京城,读书/翰林,贾政,王氏,薛宝钗,,,,贾宝玉，荣国府贾政次子，含玉而生。厌恶仕途，独爱诗词戏曲。,叛逆多情，才华横溢，著《红楼梦》。
贾环,贾,环,男,,1795-07-14,,否,京城,读书,贾政,赵姨娘,,,,贾环，贾政三子，庶出。为人阴微。,虽非嫡出，亦有才学。,
贾元春,贾,元,女,,1745-03-15,1780-01-20,是,京城,皇妃,贾政,王氏,,,,贾元春，贾政长女，入宫为妃，后封贵妃。,贤德才貌，选入后宫。,
贾迎春,贾,迎,女,,1750-06-20,1795-12-05,是,京城,,贾赦,邢氏,孙绍祖,,,,贾迎春，贾赦之女，庶出。性格懦弱。,老实无能，懦弱怕事。
贾探春,贾,探,女,,1753-03-18,1800-08-22,是,京城,管家,贾政,赵姨娘,,,,贾探春，贾政三女，庶出。精明能干，有"玫瑰花"之称。,才自精明志自高，有经纬之才。,
贾惜春,贾,惜,女,,1758-04-25,1820-01-10,是,京城,出家,贾敬,,,,,,贾惜春，贾敬之女。年少时即有出世之心，后出家为尼。,勘破三春，出家为尼。
李纨,李,,女,,1748-02-28,1820-11-30,是,京城,诰命夫人,,,贾珠,,,,李纨，贾珠之妻，出身名门。守寡后抚养幼子。,温良恭俭，贤妻良母。
薛宝钗,薛,,女,,1792-12-08,1870-05-15,是,金陵,诰命夫人,,,贾宝玉,,,,薛宝钗，出身金陵薛家，容貌丰美，举止娴雅。,德容言工，样样俱全。
王熙凤,王,,女,,1742-09-02,1798-10-20,是,京城,管家,,,贾琏,,,,王熙凤，贾琏之妻，王夫人侄女。精明强干，有"凤辣子"之称。,手腕高明，管家有方。
邢氏,邢,,女,,1718-06-18,1790-04-12,是,京城,诰命夫人,,,贾赦,,,,邢氏，贾赦正妻，出身一般，为人忠厚。,为人善良，顺从丈夫。
王氏,王,,女,,1725-03-08,1805-08-25,是,京城,诰命夫人,,,贾政,,,,王氏，贾政正妻，出身四大家族之王家。性格端庄。,出身名门，相夫教子。
赵姨娘,赵,,女,,1730-05-15,1795-02-28,是,京城,,,贾政,,,,赵姨娘，贾政妾室，贾环、探春之母。,身份卑微，心术不正。,
史太君,史,,女,,1695-08-20,1780-01-15,是,金陵,诰命夫人,,,贾代善,,,史太君，贾母，史家之女。贾府最高长辈。,福寿双全，享尽荣华。,
林黛玉,林,,女,,1785-03-22,1797-05-20,是,扬州,,,,贾宝玉,,,林黛玉，贾敏之女，绛珠仙草转世。才情绝世，多愁善感。,才情绝世，泪尽而亡。,
贾敏,贾,,女,,1720-06-18,1765-11-30,是,扬州,,贾代善,史太君,林如海,,,,贾敏，贾政之妹，嫁与林如海。,出身名门，嫁入林家。
